experiment_id,dataset,model,beta,corruption,severity,accuracy,mean_confidence,mean_entropy
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,gaussian,0.4,0.2016,0.6224858951568604,1.0844035482406615
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,salt_pepper,0.0,0.6942,0.7447587290763855,0.7173900590896607
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,salt_pepper,0.1,0.5288,0.676400945186615,0.9343443887710571
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,salt_pepper,0.2,0.4132,0.6551423286437988,1.014983214187622
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,salt_pepper,0.3,0.3382,0.6457146259307861,1.0526043533325196
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,salt_pepper,0.4,0.2962,0.6363335971832276,1.0762160266876222
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,blur,0.0,0.6942,0.7447587290763855,0.7173900590896607
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,blur,0.1,0.5086,0.6377675329208374,0.9933227601051331
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,blur,0.2,0.5086,0.6377675329208374,0.9933227601051331
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,blur,0.3,0.3151,0.5749709121704102,1.1449726229667663
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,blur,0.4,0.3151,0.5749709121704102,1.1449726229667663
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,contrast,0.0,0.6942,0.7447587290763855,0.7173900590896607
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,contrast,0.1,0.6838,0.7310408361434937,0.7577976558685303
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,contrast,0.2,0.6598,0.710769222831726,0.8129468079566956
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,contrast,0.3,0.6229,0.6829390127182007,0.8871910492897034
cifar10_vib_beta_0_0003,cifar10,vib,0.0003,contrast,0.4,0.5607,0.6482352174758911,0.9777738956451416
cifar10_vib_beta_0_001,cifar10,vib,0.001,gaussian,0.0,0.7013,0.7526539873123169,0.6976442844390869
cifar10_vib_beta_0_001,cifar10,vib,0.001,gaussian,0.1,0.5396,0.7005235025405884,0.8698335447311402
cifar10_vib_beta_0_001,cifar10,vib,0.001,gaussian,0.2,0.3486,0.6648794875144959,1.0002826831817626
cifar10_vib_beta_0_001,cifar10,vib,0.001,gaussian,0.3,0.2437,0.6409503099441528,1.0467933673858643
cifar10_vib_beta_0_001,cifar10,vib,0.001,gaussian,0.4,0.1951,0.6375671181678771,1.0392964082717895
cifar10_vib_beta_0_001,cifar10,vib,0.001,salt_pepper,0.0,0.7013,0.7526539873123169,0.6976442844390869
cifar10_vib_beta_0_001,cifar10,vib,0.001,salt_pepper,0.1,0.5263,0.6917027152061462,0.8958375246047974
cifar10_vib_beta_0_001,cifar10,vib,0.001,salt_pepper,0.2,0.4116,0.6732961091041565,0.967463490486145
